time,kf_x0,kf_x1,kf_x2,kf_x3,qei_alpha_estimate,qei_omega,qei_omega_filtered,qei_theta,motor_voltage
0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0
0.006,4.14483262526725e-14,3.93739780217099e-05,0.00231913228829702,7.99230122083827e-08,0.0617834776639938,0,0.00018965183213974,0,0.0210376406709353
0.007,8.2896652505345e-14,7.87479560434197e-05,0.00463826457659404,1.59846024416765e-07,0.123566955327988,0,0.000379303664279481,0,0.0420752813418706
0.008,1.24344978758018e-13,0.00011812193406513,0.00695739686489105,2.39769036625148e-07,0.185350432991982,0,0.000568955496419221,0,0.063112922012806
0.009,1.6579330501069e-13,0.00015749591208684,0.00927652915318807,3.19692048833531e-07,0.247133910655975,0,0.000758607328558962,0,0.0841505626837413
0.01,2.07241631263363e-13,0.000196869890108549,0.0115956614414851,3.99615061041914e-07,0.308917388319969,0,0.000948259160698702,0,0.105188203354677
0.011,2.48689957516035e-13,0.000236243868130259,0.0139147937297821,4.79538073250296e-07,0.370700865983963,0,0.00113791099283844,0,0.126225844025612
0.012,8.32519238732251e-13,0.000616948059663022,0.0152344961340229,1.28584810283883e-05,0.402873193224271,0,0.00153553266621505,0,0.138937493165334
0.013,1.41634851994847e-12,0.000997652251195784,0.0165541985382636,2.52374239835263e-05,0.435045520464579,0,0.00193315433959166,0,0.151649142305056
0.014,2.00017780116468e-12,0.00137835644272855,0.0178739009425044,3.76163669386642e-05,0.467217847704887,0,0.00233077601296827,0,0.164360791444778
0.015,2.5840070823809e-12,0.00175906063426131,0.0191936033467452,4.99953098938022e-05,0.499390174945195,0,0.00272839768634488,0,0.177072440584501
0.016,3.16783636359711e-12,0.00213976482579407,0.0205133057509859,6.23742528489402e-05,0.531562502185504,0,0.00312601935972149,0,0.189784089724223
0.017,3.75166564481333e-12,0.00252046901732683,0.0218330081552267,7.47531958040781e-05,0.563734829425812,0,0.0035236410330981,0,0.202495738863945
0.018,4.63842297904194e-12,0.00309660499915481,0.0231146994978189,0.000113242934457958,0.591826164722443,0,0.00414529172703624,0,0.215267807245255
0.019,5.52518031327054e-12,0.00367274098098278,0.0243963908404112,0.000151732673111837,0.619917500019073,0,0.00476694242097437,0,0.228039875626564
0.02,6.41193764749914e-12,0.00424887696281076,0.0256780821830034,0.000190222411765717,0.648008835315704,0,0.00538859311491251,0,0.240811944007874
0.021,7.29869498172775e-12,0.00482501294463873,0.0269597735255957,0.000228712150419597,0.676100170612335,0,0.00601024380885065,0,0.253584012389183
0.022,8.18545231595635e-12,0.0054011489264667,0.0282414648681879,0.000267201889073476,0.704191505908966,0,0.00663189450278878,0,0.266356080770493
0.023,9.25410859053955e-12,0.00609101541340351,0.0295031554996967,0.000337395537644625,0.729584491252899,0,0.00739338360726833,0,0.279182493686676
0.024,1.03227648651227e-11,0.00678088190034032,0.0307648461312056,0.000407589186215773,0.754977476596832,0,0.00815487271174789,0,0.292008906602859
0.025,1.13914211397059e-11,0.00747074838727713,0.0320265367627144,0.000477782834786922,0.780370461940765,0,0.00891636181622744,0,0.304835319519043
0.026,1.24600774142891e-11,0.00816061487421394,0.0332882273942232,0.000547976483358071,0.805763447284699,0,0.00967785092070699,0,0.317661732435226
0.027,1.35287336888723e-11,0.00885048136115074,0.034549918025732,0.000618170131929219,0.831156432628632,0,0.0104393400251865,0,0.33048814535141
0.028,1.47224454849493e-11,0.00960788177326322,0.0358026903122663,0.000724752705233793,0.855697343746821,0,0.0112381827396651,0,0.343373676141103
0.029,1.59161572810262e-11,0.0103652821853757,0.0370554625988007,0.000831335278538366,0.880238254865011,0,0.0120370254541437,0,0.356259206930796
0.03,1.71098690771032e-11,0.0111226825974882,0.038308234885335,0.00093791785184294,0.9047791659832,0,0.0128358681686223,0,0.36914473772049
0.031,1.83035808731802e-11,0.0118800830096006,0.0395610071718693,0.00104450042514751,0.92932007710139,0,0.0136347108831008,0,0.382030268510183
0.032,1.94972926692571e-11,0.0126374834217131,0.0408137794584036,0.00115108299845209,0.953860988219579,0,0.0144335535975794,0,0.394915799299876
0.033,2.06910044653341e-11,0.0133948838338256,0.0420665517449379,0.00125766557175666,0.978401899337769,0,0.015232396312058,0,0.407801330089569
0.034,2.21007212530822e-11,0.0143188115209341,0.0435748934745789,0.00141335278749466,1.0075341463089,0,0.0162052482366562,0,0.423340421915054
0.035,2.35104380408302e-11,0.0152427392080426,0.0450832352042198,0.00156904000323266,1.03666639328003,0,0.0171781001612544,0,0.43887951374054
0.036,2.49201548285782e-11,0.0161666668951511,0.0465915769338608,0.00172472721897066,1.06579864025116,0,0.0181509520858526,0,0.454418605566025
0.037,2.63298716163263e-11,0.0170905945822597,0.0480999186635017,0.00188041443470865,1.09493088722229,0,0.0191238040104508,0,0.46995769739151
0.038,2.77395884040743e-11,0.0180145222693682,0.0496082603931427,0.00203610165044665,1.12406313419342,0,0.0200966559350491,0,0.485496789216995
