time,kf_x0,kf_x1,kf_x2,kf_x3,qei_alpha_estimate,qei_omega,qei_omega_filtered,qei_theta,motor_voltage
0,0.000306796166114509,6.7271479053943e-08,-1.53274850589469e-08,-1.09507894308081e-07,-2.32967603541745e-11,0,6.7271479053943e-08,0.000306796166114509,0
0.001,0.000306796166114509,6.7271479053943e-08,-1.53274850589469e-08,-1.09507894308081e-07,-2.32967603541745e-11,0,6.7271479053943e-08,0.000306796166114509,0
0.002,0.000306796166114509,6.7271479053943e-08,-1.53274850589469e-08,-1.09507894308081e-07,-2.32967603541745e-11,0,6.7271479053943e-08,0.000306796166114509,0
0.003,0.000306796166114509,6.7271479053943e-08,-1.53274850589469e-08,-1.09507894308081e-07,-2.32967603541745e-11,0,6.7271479053943e-08,0.000306796166114509,0
0.004,0.000306796166114509,6.7271479053943e-08,-1.53274850589469e-08,-1.09507894308081e-07,-2.32967603541745e-11,0,6.7271479053943e-08,0.000306796166114509,0
0.005,0.000306796166114509,6.7271479053943e-08,-1.53274850589469e-08,-1.09507894308081e-07,-2.32967603541745e-11,0,6.7271479053943e-08,0.000306796166114509,0
0.006,0.000306796166114509,6.90293307513912e-05,0.00305872115659582,1.00038766959187e-07,0.082458263616998,0,0.000201943922564851,0.000306796166114509,0.0277819693088532
0.007,0.000306796166114509,0.000137991390023728,0.0061174576406767,3.09585428226455e-07,0.164916527257293,0,0.000403820573650648,0.000306796166114509,0.0555639386177063
0.008,0.000306796166114509,0.000206953449296066,0.00917619412475759,5.19132089493723e-07,0.247374790897587,0,0.000605697224736446,0.000306796166114509,0.0833459079265595
0.009,0.000306796166114509,0.000275915508568403,0.0122349306088385,7.28678750760992e-07,0.329833054537882,0,0.000807573875822243,0.000306796166114509,0.111127877235413
0.01,0.000306796166114509,0.00034487756784074,0.0152936670929193,9.3822541202826e-07,0.412291318178177,0,0.00100945052690804,0.000306796166114509,0.138909846544266
0.011,0.000306899135466665,0.000813994812779128,0.0165938928723335,1.62193651704001e-05,0.442401957511902,0,0.001522614993155,0.000306796166114509,0.151627025008202
0.012,0.000307002104818821,0.00128311205771752,0.0178941186517477,3.1500504928772e-05,0.472512596845627,0,0.00203577945940196,0.000306796166114509,0.164344203472137
0.013,0.000307105074170977,0.00175222930265591,0.0191943444311619,4.67816446871439e-05,0.502623236179352,0,0.00254894392564893,0.000306796166114509,0.177061381936073
0.014,0.000307208043523133,0.00222134654759429,0.0204945702105761,6.20627844455157e-05,0.532733875513077,0,0.00306210839189589,0.000306796166114509,0.189778560400009
0.015,0.000307311012875289,0.00269046379253268,0.0217947959899902,7.73439242038876e-05,0.562844514846802,0,0.00357527285814285,0.000306796166114509,0.202495738863945
0.016,0.000307208043523133,0.00322663150727749,0.0230854917317629,0.000115203106543049,0.591716814041138,0,0.00415402324870229,0.000306796166114509,0.215267807245255
0.017,0.000307105074170977,0.0037627992220223,0.0243761874735355,0.000153062288882211,0.620589113235474,0,0.00473277363926172,0.000306796166114509,0.228039875626564
0.018,0.000307002104818821,0.0042989669367671,0.0256668832153082,0.000190921471221373,0.64946141242981,0,0.00531152402982116,0.000306796166114509,0.240811944007874
0.019,0.000306899135466665,0.00483513465151191,0.0269575789570808,0.000228780653560534,0.678333711624145,0,0.00589027442038059,0.000306796166114509,0.253584012389183
0.02,0.000306796166114509,0.00537130236625671,0.0282482746988535,0.000266639835899696,0.707206010818481,0,0.00646902481094003,0.000306796166114509,0.266356080770493
0.021,0.000306796166114509,0.00595393590629101,0.0295344866812229,0.00032314722193405,0.735261023044586,0,0.00709194131195545,0.000306796166114509,0.279182493686676
0.022,0.000306796166114509,0.0065365694463253,0.0308206986635923,0.000379654607968405,0.763316035270691,0,0.00771485781297087,0.000306796166114509,0.292008906602859
0.023,0.000306796166114509,0.00711920298635959,0.0321069106459618,0.000436161994002759,0.791371047496796,0,0.0083377743139863,0.000306796166114509,0.304835319519043
0.024,0.000306796166114509,0.00770183652639389,0.0333931226283312,0.000492669380037114,0.8194260597229,0,0.00896069081500173,0.000306796166114509,0.317661732435226
0.025,0.000306796166114509,0.00828447006642818,0.0346793346107006,0.000549176766071469,0.847481071949005,0,0.00958360731601715,0.000306796166114509,0.33048814535141
0.026,0.000306796166114509,0.00920110801234841,0.0358835244551301,0.000664598963339813,0.868521094322205,0,0.0105705980677158,0.000306796166114509,0.343362994492054
0.027,0.000306796166114509,0.0101177459582686,0.0370877142995596,0.000780021160608157,0.889561116695404,0,0.0115575888194144,0.000306796166114509,0.356237843632698
0.028,0.000306796166114509,0.0110343839041889,0.0382919041439891,0.000895443357876502,0.910601139068604,0,0.012544579571113,0.000306796166114509,0.369112692773342
0.029,0.000306796166114509,0.0119510218501091,0.0394960939884186,0.00101086555514485,0.931641161441803,0,0.0135315703228116,0.000306796166114509,0.381987541913986
0.03,0.000306796166114509,0.0127557095140219,0.0407509706914425,0.00113830619957298,0.953868699073791,0,0.0144474744796753,0.000306796166114509,0.394910353422165
0.031,0.000306796166114509,0.0135603971779346,0.0420058473944664,0.00126574684400111,0.97609623670578,0,0.015363378636539,0.000306796166114509,0.407833164930344
