time,kf_x0,kf_x1,kf_x2,kf_x3,qei_alpha_estimate,qei_omega,qei_omega_filtered,qei_theta,motor_voltage
0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0
0.007,0,6.89620967023075e-05,0.00305873639881611,2.09480708690535e-07,0.0824582695960999,0,0.00018553287955001,0,0.0277819693088532
0.008,0,0.000137924193404615,0.00611747279763222,4.1896141738107e-07,0.1649165391922,0,0.00037106575910002,0,0.0555639386177063
0.009,0,0.000206886290106922,0.00917620919644833,6.28442126071605e-07,0.2473748087883,0,0.00055659863865003,0,0.0833459079265595
0.01,0,0.00027584838680923,0.0122349455952644,8.37922834762139e-07,0.329833078384399,0,0.00074213151820004,0,0.111127877235413
0.011,0,0.000344810483511537,0.0152936819940805,1.04740354345267e-06,0.412291347980499,0,0.00092766439775005,0,0.138909846544266
0.012,0,0.000737672671675682,0.0166112095117569,1.25335182929121e-05,0.443334710597992,0,0.00140638630837202,0,0.151627025008202
0.013,0,0.00113053485983983,0.0179287370294333,2.40196330423714e-05,0.474378073215485,0,0.00188510821899399,0,0.164344203472137
0.014,0,0.00152339704800397,0.0192462645471096,3.55057477918308e-05,0.505421435832977,0,0.00236383012961596,0,0.177061381936073
0.015,0,0.00191625923616812,0.020563792064786,4.69918625412902e-05,0.53646479845047,0,0.00284255204023793,0,0.189778560400009
0.016,0,0.00230912142433226,0.0218813195824623,5.84779772907495e-05,0.567508161067963,0,0.0033212739508599,0,0.202495738863945
0.017,0,0.00289010154083371,0.0231619074940681,9.49737703194842e-05,0.596039748191834,0,0.00392060475423932,0,0.215267807245255
0.018,0,0.00347108165733516,0.024442495405674,0.000131469563348219,0.624571335315704,0,0.00451993555761874,0,0.228039875626564
0.019,0,0.00405206177383661,0.0257230833172798,0.000167965356376953,0.653102922439575,0,0.00511926636099815,0,0.240811944007874
0.02,0,0.00463304189033806,0.0270036712288856,0.000204461149405688,0.681634509563446,0,0.00571859716437757,0,0.253584012389183
0.021,0,0.00521402200683951,0.0282842591404915,0.000240956942434423,0.710166096687317,0,0.00631792796775699,0,0.266356080770493
0.022,0,0.0058769442141056,0.0292677447199821,0.000306010327767581,0.729021894931793,0,0.0070055266842246,0,0.276612889766693
0.023,0,0.0065398664213717,0.0302512302994728,0.000371063713100739,0.747877693176269,0,0.00769312540069222,0,0.286869698762894
0.024,0,0.00720278862863779,0.0312347158789635,0.000436117098433897,0.766733491420746,0,0.00838072411715984,0,0.297126507759094
0.025,0,0.00786571083590388,0.0322182014584541,0.000501170483767055,0.785589289665222,0,0.00906832283362746,0,0.307383316755295
0.026,0,0.00852863304316998,0.0332016870379448,0.000566223869100213,0.804445087909699,0,0.00975592155009508,0,0.317640125751495
0.027,0,0.00941907963715494,0.0347783183678985,0.000683438614942134,0.83641305565834,0,0.0106902678962797,0,0.333726979792118
0.028,0,0.0103095262311399,0.0363549496978521,0.000800653360784054,0.868381023406982,0,0.0116246142424643,0,0.349813833832741
0.029,0,0.0111999728251249,0.0379315810278058,0.000917868106625974,0.900348991155625,0,0.0125589605886489,0,0.365900687873364
0.03,0,0.0120904194191098,0.0395082123577595,0.00103508285246789,0.932316958904266,0,0.0134933069348335,0,0.381987541913986
0.031,0,0.012852131575346,0.040764194726944,0.00115737984888256,0.95615885257721,0,0.0143264431506395,0,0.394910353422165
0.032,0,0.0136138437315822,0.0420201770961285,0.00127967684529722,0.980000746250153,0,0.0151595793664455,0,0.407833164930344
0.033,0,0.0143755558878183,0.043276159465313,0.00140197384171188,1.0038426399231,0,0.0159927155822516,0,0.420755976438522
0.034,0,0.0151372680440545,0.0445321418344975,0.00152427083812654,1.02768453359604,0,0.0168258517980576,0,0.433678787946701
0.035,0,0.0158989802002907,0.0457881242036819,0.0016465678345412,1.05152642726898,0,0.0176589880138636,0,0.44660159945488
0.036,0,0.0170152983628213,0.0473276460543275,0.00185372401028872,1.08002191781998,0,0.0187621554359794,0,0.462821029126644
0.037,0,0.018131616525352,0.048867167904973,0.00206088018603623,1.10851740837097,0,0.0198653228580952,0,0.479040458798408
0.038,0,0.0192479346878827,0.0504066897556186,0.00226803636178374,1.13701289892197,0,0.020968490280211,0,0.495259888470173
0.039,0,0.0203642528504133,0.0519462116062641,0.00247519253753126,1.16550838947296,0,0.0220716577023268,0,0.511479318141937
0.04,0,0.0212902847677469,0.0528873220086098,0.0026737351436168,1.17894721031189,0,0.0230112705379725,0,0.521897327899933
0.041,0,0.0222163166850805,0.0538284324109554,0.00287227774970234,1.19238603115082,0,0.0239508833736181,0,0.532315337657928
0.042,0,0.0231423486024141,0.0547695428133011,0.00307082035578787,1.20582485198975,0,0.0248904962092638,0,0.542733347415924
0.043,0,0.0240683805197477,0.0557106532156467,0.00326936296187341,1.21926367282867,0,0.0258301090449095,0,0.55315135717392
0.044,0,0.0249944124370813,0.0566517636179924,0.00346790556795895,1.2327024936676,0,0.0267697218805552,0,0.563569366931915
