time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
52.68,0,-0.000178457194124348,0,1.19209289550781e-07
52.681,0,-0.000178457159199752,0,1.19209289550781e-07
52.682,0,-0.000178457124275155,0,1.19209289550781e-07
52.683,0,-0.000178457089350559,0,1.19209289550781e-07
52.684,0,-0.000178457054425962,0,1.19209289550781e-07
52.685,0,-0.000178457019501366,0,1.19209289550781e-07
52.686,0,-0.000178457041329239,0,1.19209289550781e-07
52.687,0,-0.000178457063157111,0,1.19209289550781e-07
52.688,0,-0.000178457084984984,0,1.19209289550781e-07
52.689,0,-0.000178457106812857,0,1.19209289550781e-07
52.69,0,-0.000178457106812857,0,1.19209289550781e-07
52.691,0,-0.000178457106812857,0,1.19209289550781e-07
52.692,0,-0.000178457106812857,0,1.19209289550781e-07
52.693,0,-0.000178457106812857,0,1.19209289550781e-07
52.694,0,-0.000178457106812857,0,1.19209289550781e-07
52.695,0,-0.000178457077709027,0,1.19209289550781e-07
52.696,0,-0.000178457048605196,0,1.19209289550781e-07
52.697,0,-0.000178457019501366,0,1.19209289550781e-07
52.698,0,-0.000178456990397535,0,1.19209289550781e-07
52.699,0,-0.000178457043754558,0,1.19209289550781e-07
52.7,0,-0.00017845709711158,0,1.19209289550781e-07
52.701,0,-0.000178457150468603,0,1.19209289550781e-07
52.702,0,-0.000178457121364772,0,1.19209289550781e-07
52.703,0,-0.000178457092260942,0,1.19209289550781e-07
52.704,0,-0.000178457063157111,0,1.19209289550781e-07
52.705,0,-0.000178457081347005,0,1.19209289550781e-07
52.706,0,-0.000178457099536899,0,1.19209289550781e-07
52.707,0,-0.000178457117726794,0,1.19209289550781e-07
52.708,0,-0.000178457135916688,0,1.19209289550781e-07
52.709,0,-0.000178457106812857,0,1.19209289550781e-07
52.71,0,-0.000178457077709027,0,1.19209289550781e-07
52.711,0,-0.000178457048605196,0,1.19209289550781e-07
52.712,0,-0.000178457019501366,0,1.19209289550781e-07
52.713,0,-0.000178457063157111,0,1.19209289550781e-07
52.714,0,-0.000178457106812857,0,1.19209289550781e-07
52.715,0,-0.000178457150468603,0,1.19209289550781e-07
52.716,0,-0.000178457121364772,0,1.19209289550781e-07
52.717,0,-0.000178457092260942,0,1.19209289550781e-07
52.718,0,-0.000178457063157111,0,1.19209289550781e-07
52.719,0,-0.000178457034053281,0,1.19209289550781e-07
52.72,0,-0.000178457082559665,0,1.19209289550781e-07
52.721,0,-0.000178457131066049,0,1.19209289550781e-07
52.722,0,-0.000178457179572433,0,1.19209289550781e-07
52.723,0,-0.000178457143192645,0,1.19209289550781e-07
52.724,0,-0.000178457106812857,0,1.19209289550781e-07
52.725,0,-0.000178457070433069,0,1.19209289550781e-07
52.726,0,-0.000178457034053281,0,1.19209289550781e-07
52.727,0,-0.000178457054425962,0,1.19209289550781e-07
52.728,0,-0.000178457074798644,0,1.19209289550781e-07
52.729,0,-0.000178457095171325,0,1.19209289550781e-07
