time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.008,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.017,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.025,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.033,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.041,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.048,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.055,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.062,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.069,0,0,0,0,0,0.00004999999873689376,0.0003067961661145091,-7.130596912929832e-8,1.759203627216266e-8,9.55212868802846e-8,0,0,0.11999999731779099,3,0,0,-3.809625358230928e-12,0,-7.130596912929832e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
