time,QEIdata.omega,QEIdata.theta,Voltage
0,0,0.004376255,24
0.001,0,0.004376255,24
0.002,0,0.004376255,24
0.003,0,0.004376255,24
0.004,0,0.004376255,24
0.005,0,0.004376255,24
0.006,0,0.004376255,24
0.007,0,0.004376255,24
0.008,0,0.004376255,24
0.009,0,0.004376255,24
0.01,-1.533980846,0.004069459,24
0.011,0,0.004376255,24
0.012,0,0.004376255,24
0.013,0,0.004376255,24
0.014,0,0.004376255,24
0.015,0,0.004376255,24
0.016,1.533980846,0.004683051,24
0.017,0,0.004989848,24
0.018,0,0.004989848,24
0.019,0,0.005296644,24
0.02,1.533980846,0.005910236,24
0.021,1.533980846,0.006830625,24
0.022,1.533980846,0.007751014,24
0.023,0,0.008364607,24
0.024,1.533980846,0.009898588,24
0.026,1.533980846,0.011739366,24
0.027,3.067961693,0.014500532,24
0.028,3.067961693,0.016954903,24
0.029,1.533980846,0.019102477,24
0.03,3.067961693,0.022170439,24
0.031,3.067961693,0.024931606,24
0.032,3.067961693,0.027999569,24
0.033,4.601942539,0.031681124,24
0.034,3.067961693,0.035055883,24
0.035,3.067961693,0.038737439,24
0.036,3.067961693,0.042418994,24
0.038,3.067961693,0.047941327,24
0.039,4.601942539,0.052236475,24
0.04,4.601942539,0.057145216,24
0.041,3.067961693,0.061440364,24
0.042,4.601942539,0.066962682,24
0.043,4.601942539,0.071564615,24
0.044,6.135923386,0.076166548,24
0.045,4.601942539,0.081382073,24
0.046,3.067961693,0.085677207,24
0.047,4.601942539,0.090892725,24
0.049,4.601942539,0.096415035,24
0.05,6.135923386,0.103778131,24
0.052,3.067961693,0.108993657,24
0.053,6.135923386,0.115129568,24
0.054,4.601942539,0.120651886,24
0.055,4.601942539,0.125560611,24
0.056,4.601942539,0.130469337,24
0.057,4.601942539,0.136298448,24
0.058,4.601942539,0.141513973,24
0.059,4.601942539,0.147036284,24
0.061,4.601942539,0.153172195,24
0.062,4.601942539,0.158080921,24
0.063,4.601942539,0.162989646,24
0.064,4.601942539,0.167898372,24
0.065,4.601942539,0.172500297,24
0.066,3.067961693,0.177409023,24
0.067,4.601942539,0.183238134,24
0.068,6.135923386,0.188146859,24
0.069,4.601942539,0.1918284,24
0.07,6.135923386,0.196737126,24
0.071,4.601942539,0.201339051,24
0.072,4.601942539,0.206247777,24
0.073,4.601942539,0.210849702,24
0.074,4.601942539,0.216372013,24
0.075,4.601942539,0.220973939,24
0.076,4.601942539,0.225575864,24
0.077,4.601942539,0.22987099,24
0.078,4.601942539,0.234166116,24
0.079,4.601942539,0.238461241,24
0.08,4.601942539,0.243676752,24
0.081,4.601942539,0.247971877,24
0.082,3.067961693,0.251960218,24
0.083,4.601942539,0.256562144,24
0.084,4.601942539,0.259936899,24
0.085,4.601942539,0.265152425,24
0.086,4.601942539,0.270061165,24
0.087,4.601942539,0.274356306,24
0.088,4.601942539,0.278651446,24
0.089,4.601942539,0.282946587,24
0.09,4.601942539,0.287241727,24
0.091,4.601942539,0.291536868,24
0.092,4.601942539,0.295832008,24
0.093,4.601942539,0.301047534,24
0.094,4.601942539,0.305342674,24
0.095,4.601942539,0.309637815,24
0.096,4.601942539,0.313932955,24
0.097,4.601942539,0.317307711,24
0.098,6.135923386,0.321909636,24
0.099,4.601942539,0.326204777,24
0.1,4.601942539,0.331727087,24
0.101,3.067961693,0.335715443,24
0.102,4.601942539,0.340317369,24
0.103,4.601942539,0.344919294,24
0.104,4.601942539,0.348600835,24
0.105,4.601942539,0.35320276,24
0.106,4.601942539,0.357804686,24
0.107,4.601942539,0.363326997,24
0.108,4.601942539,0.367928922,24
0.109,4.601942539,0.373758018,24
0.11,4.601942539,0.378359944,24
0.111,4.601942539,0.382348269,24
0.112,4.601942539,0.386950195,24
0.113,4.601942539,0.39155212,24
0.115,4.601942539,0.397381216,24
0.116,4.601942539,0.402289927,24
0.117,4.601942539,0.407198638,24
0.118,4.601942539,0.412107348,24
0.119,4.601942539,0.416709274,24
0.119,4.601942539,0.421004385,24
0.12,4.601942539,0.42560631,24
0.122,4.601942539,0.431742191,24
0.123,4.601942539,0.437571287,24
0.124,4.601942539,0.442479998,24
0.125,4.601942539,0.447388709,24
0.126,6.135923386,0.451377034,24
0.127,4.601942539,0.456899345,24
0.128,4.601942539,0.461808056,24
0.129,4.601942539,0.467637151,24
0.13,3.067961693,0.472239077,24
0.131,4.601942539,0.477147788,24
0.132,4.601942539,0.481749713,24
0.133,6.135923386,0.486658424,24
0.134,4.601942539,0.49126035,24
0.135,4.601942539,0.498009831,24
0.136,4.601942539,0.502611816,24
0.137,4.601942539,0.508441091,24
0.138,4.601942539,0.51212275,24
0.139,4.601942539,0.516724765,24
0.14,4.601942539,0.521633625,24
0.141,6.135923386,0.526542485,24
0.143,4.601942539,0.53175807,24
0.144,4.601942539,0.53666693,24
0.145,4.601942539,0.541269004,24
0.146,4.601942539,0.546791494,24
0.147,4.601942539,0.550473154,24
0.148,4.601942539,0.555075169,24
0.149,4.601942539,0.560290813,24
0.15,4.601942539,0.564892888,24
0.151,4.601942539,0.570415318,24
0.152,4.601942539,0.575017393,24
0.153,4.601942539,0.579619467,24
0.154,4.601942539,0.584221542,24
0.155,4.601942539,0.588823617,24
0.156,4.601942539,0.593425691,24
0.157,4.601942539,0.598948121,24
0.158,4.601942539,0.603550136,24
0.159,3.067961693,0.608152092,24
0.16,4.601942539,0.613060951,24
0.161,6.135923386,0.618890226,24
0.162,4.601942539,0.623185456,24
0.164,6.135923386,0.629014671,24
0.164,4.601942539,0.633616745,24
0.166,4.601942539,0.63821882,24
0.167,4.601942539,0.642820895,24
0.168,4.601942539,0.647729754,24
0.169,4.601942539,0.652331829,24
0.17,4.601942539,0.657240689,24
0.171,4.601942539,0.662763119,24
0.172,4.601942539,0.667365193,24
0.173,4.601942539,0.672274053,24
0.174,4.601942539,0.676876128,24
0.175,4.601942539,0.681478202,24
0.176,4.601942539,0.687307477,24
0.177,4.601942539,0.691909552,24
0.178,4.601942539,0.696818411,24
0.179,4.601942539,0.701113641,24
0.18,4.601942539,0.706022501,24
0.181,4.601942539,0.710624576,24
0.182,4.601942539,0.71522665,24
0.183,4.601942539,0.72013551,24
0.184,4.601942539,0.725658,24
0.185,4.601942539,0.730260015,24
0.186,4.601942539,0.734862089,24
0.187,4.601942539,0.739770949,24
0.188,4.601942539,0.744373024,24
0.189,4.601942539,0.748975098,24
0.19,4.601942539,0.753883958,24
0.191,4.601942539,0.759713233,24
0.192,4.601942539,0.764315307,24
0.193,4.601942539,0.769224167,24
0.194,4.601942539,0.773826182,24
0.195,4.601942539,0.778428257,24
0.196,6.135923386,0.782416701,24
0.197,4.601942539,0.787939191,24
0.198,4.601942539,0.792541265,24
0.199,4.601942539,0.797143281,24
0.2,4.601942539,0.80205214,24
0.201,4.601942539,0.806654215,24
0.202,6.135923386,0.811563015,24
0.203,4.601942539,0.81616509,24
0.204,4.601942539,0.821994364,24
0.206,4.601942539,0.826596379,24
0.207,4.601942539,0.831505239,24
0.208,4.601942539,0.836414099,24
0.209,3.067961693,0.841936529,24
0.21,4.601942539,0.847152174,24
0.211,4.601942539,0.851754248,24
0.212,4.601942539,0.857583523,24
0.213,4.601942539,0.862492383,24
0.214,6.135923386,0.867401242,24
0.215,4.601942539,0.872003257,24
