time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.007,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.015,0,0,0,0,0,0.00004999999873689376,1.750433398228779e-8,0.0021464743185788393,0.02051483653485775,0.000012938357031089254,0.18975651264190674,0,0.11999999731779099,3,0,0,1.3131067752838135,0,0.005459059961140156,0,0.18975651264190674,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.023,0,0,0,0,0,0.00004999999873689376,1.2281861927476712e-7,0.013227350078523159,0.027673443779349327,0.0006387929897755384,0.27916082739830017,0,0.11999999731779099,3,0,0,1.416369080543518,0,0.019017204642295837,0,0.27916082739830017,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.037,0,0,0,0,0,0.00004999999873689376,2.950368980236817e-7,0.031280405819416046,0.036013007164001465,0.003686624113470316,0.39488911628723145,0,0.11999999731779099,3,0,0,1.4128113985061646,0,0.037435293197631836,0,0.39488911628723145,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.049,0,0,0,0,0,0.00004999999873689376,4.442590579856187e-7,0.04702720046043396,0.05079761520028114,0.008410239592194557,0.5635693669319153,0,0.11999999731779099,3,0,0,1.9649461507797241,0,0.05270993337035179,0,0.5635693669319153,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.06,0,0,0,0,0,0.00004999999873689376,6.005602699588053e-7,0.06348232924938202,0.06413716822862625,0.014028391800820827,0.7208247184753418,0,0.11999999731779099,3,0,0,2.2055439949035645,0,0.07131541520357132,0,0.7208247184753418,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.071,0,0,0,0,0,0.00004999999873689376,7.899961929069832e-7,0.08333759009838104,0.07531347125768661,0.022240595892071724,0.8662444949150085,0,0.11999999731779099,3,0,0,2.2547409534454346,0,0.09042323380708694,0,0.8662444949150085,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.081,0,0,0,0,0,0.00004999999873689376,9.441719157621264e-7,0.09953147917985916,0.08753064274787903,0.03101552091538906,1.0128413438796997,0,0.11999999731779099,3,0,0,2.5057249069213867,0,0.10547025501728058,0,1.0128413438796997,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.089,0,0,0,0,0,0.00004999999873689376,0.0000010944950190605596,0.11530110239982605,0.09848420321941376,0.04023289680480957,1.1471011638641357,0,0.11999999731779099,3,0,0,2.659144639968872,0,0.12009739130735397,0,1.1471011638641357,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.097,0,0,0,0,0,0.00004999999873689376,0.0000012202035577502102,0.12847362458705902,0.10717923939228058,0.04899600148200989,1.2551674842834473,0,0.11999999731779099,3,0,0,2.641634941101074,0,0.13341423869132996,0,1.2551674842834473,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.104,0,0,0,0,0,0.00004999999873689376,0.0000013488843251252547,0.1419411450624466,0.11586062610149384,0.05980733782052994,1.3638020753860474,0,0.11999999731779099,3,0,0,2.677105665206909,0,0.14517509937286377,0,1.3638020753860474,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.111,0,0,0,0,0,0.00004999999873689376,0.00003193056181771681,0.15301549434661865,0.12520112097263336,0.06951606273651123,1.4729889631271362,0,0.11999999731779099,3,0,0,2.6593236923217773,0,0.15735113620758057,0,1.4729889631271362,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.12,0,0,0,0,0,0.00004999999873689376,0.0000015815712686162442,0.16627457737922668,0.13252371549606323,0.08420036733150482,1.5689672231674194,0,0.11999999731779099,3,0,0,2.30049991607666,0,0.1707625836133957,0,1.5689672231674194,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.13,0,0,0,0,0,0.00004999999873689376,0.0000016908124962355942,0.17767545580863953,0.14187850058078766,0.10243874043226242,1.6791439056396484,0,0.11999999731779099,3,0,0,2.137296199798584,0,0.18105384707450867,0,1.6791439056396484,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.138,0,0,0,0,0,0.00004999999873689376,0.0000017564052541274577,0.18465794622898102,0.1570156365633011,0.1151019036769867,1.8314541578292847,0,0.11999999731779099,3,0,0,2.7132203578948975,0,0.1880921721458435,0,1.8314541578292847,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.144,0,0,0,0,0,0.00004999999873689376,0.0000018396422092337161,0.19341060519218445,0.16716980934143066,0.12642645835876465,1.9427952766418457,0,0.11999999731779099,3,0,0,2.8209917545318604,0,0.19731293618679047,0,1.9427952766418457,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.15,0,0,0,0,0,0.00004999999873689376,0.0000019198960217181593,0.20180723071098328,0.17435882985591888,0.13748185336589813,2.0266029834747314,0,0.11999999731779099,3,0,0,2.7715399265289307,0,0.2054445445537567,0,2.0266029834747314,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.155,0,0,0,0,0,0.00004999999873689376,0.0000019894469005521387,0.20909634232521057,0.18185177445411682,0.14815552532672882,2.1106605529785156,0,0.11999999731779099,3,0,0,2.8063745498657227,0,0.21237137913703918,0,2.1106605529785156,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.161,0,0,0,0,0,0.00004999999873689376,0.000002070337359327823,0.21751481294631958,0.1875247061252594,0.16222937405109406,2.1808934211730957,0,0.11999999731779099,3,0,0,2.537837266921997,0,0.22029951214790344,0,2.1808934211730957,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.168,0,0,0,0,0,0.00004999999873689376,0.00004698624979937449,0.22480317950248718,0.19505923986434937,0.17769020795822144,2.2653870582580566,0,0.11999999731779099,3,0,0,2.4410476684570312,0,0.22668443620204926,0,2.2653870582580566,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.175,0,0,0,0,0,0.00004999999873689376,0.000002189783117501065,0.23002159595489502,0.20470339059829712,0.1917649358510971,2.3642475605010986,0,0.11999999731779099,3,0,0,2.482015609741211,0,0.23269023001194,0,2.3642475605010986,0,0,0,0.09300000220537186,6.699999809265137,0,0,
