time,QEIdata.omega,QEIdata.theta,Voltage
0,1.533980846,0.000306796,12
0.001,0,0.000306796,12
0.002,0,0.000920388,12
0.004,0,0.001533981,12
0.005,0,0.002147573,12
0.006,1.533980846,0.003374758,12
0.007,0,0.004295147,12
0.008,1.533980846,0.005522332,12
0.009,3.067961693,0.007056314,12
0.01,1.533980846,0.007976702,12
0.011,1.533980846,0.009510684,12
0.012,3.067961693,0.011044665,12
0.013,3.067961693,0.012885443,12
0.014,1.533980846,0.014419424,12
0.015,1.533980846,0.016260201,12
0.016,1.533980846,0.018100979,12
0.017,1.533980846,0.020248553,12
0.018,1.533980846,0.022702923,12
0.019,3.067961693,0.024850497,12
0.02,3.067961693,0.026998071,12
0.021,1.533980846,0.029452441,12
0.022,1.533980846,0.032213606,12
0.023,1.533980846,0.034974772,12
0.024,1.533980846,0.037429143,12
0.025,1.533980846,0.040497106,12
0.026,3.067961693,0.043258272,12
0.027,1.533980846,0.04509905,12
0.028,3.067961693,0.047860216,12
0.029,3.067961693,0.049700994,12
0.03,3.067961693,0.053075753,12
0.031,1.533980846,0.055223327,12
0.032,3.067961693,0.057677697,12
0.033,3.067961693,0.059518475,12
0.034,1.533980846,0.061972845,12
0.035,1.533980846,0.064427204,12
0.036,3.067961693,0.066267975,12
0.037,3.067961693,0.068415537,12
0.038,1.533980846,0.0705631,12
0.039,1.533980846,0.072710663,12
0.04,1.533980846,0.074858226,12
0.041,1.533980846,0.076392196,12
0.042,1.533980846,0.078539759,12
0.043,3.067961693,0.080380529,12
0.044,1.533980846,0.082221292,12
0.045,1.533980846,0.084368847,12
0.046,3.067961693,0.085902818,12
0.046,1.533980846,0.08743678,12
0.047,1.533980846,0.088357158,12
0.048,1.533980846,0.090504721,12
0.049,3.067961693,0.092038698,12
0.05,3.067961693,0.093879461,12
0.051,3.067961693,0.095720224,12
0.052,1.533980846,0.097254187,12
0.053,1.533980846,0.09940175,12
0.054,1.533980846,0.10062892,12
0.055,1.533980846,0.10216289,12
0.056,3.067961693,0.10400366,12
0.057,1.533980846,0.105537631,12
0.058,1.533980846,0.107071593,12
0.059,1.533980846,0.108912356,12
0.06,1.533980846,0.110753119,12
0.061,3.067961693,0.112287089,12
0.062,0,0.113821059,12
0.063,3.067961693,0.115048237,12
0.063,1.533980846,0.116889007,12
0.064,1.533980846,0.118116178,12
0.065,1.533980846,0.12026374,12
0.066,1.533980846,0.122104503,12
0.067,1.533980846,0.123331673,12
0.068,1.533980846,0.125172436,12
0.069,1.533980846,0.126706421,12
0.07,0,0.128547207,12
0.071,1.533980846,0.130387992,12
0.072,1.533980846,0.132228777,12
0.073,1.533980846,0.133455962,12
0.074,1.533980846,0.135296747,12
0.075,1.533980846,0.136830732,12
0.076,3.067961693,0.139285088,12
0.077,1.533980846,0.140512288,12
0.078,3.067961693,0.142659858,12
0.079,1.533980846,0.144500643,12
0.08,1.533980846,0.146034628,12
0.081,1.533980846,0.147875413,12
0.081,3.067961693,0.149716184,12
0.082,1.533980846,0.151556954,12
0.083,1.533980846,0.153704524,12
0.084,3.067961693,0.155238509,12
0.085,3.067961693,0.157386079,12
0.086,3.067961693,0.15953365,12
0.087,1.533980846,0.161374435,12
0.088,1.533980846,0.16290842,12
0.089,1.533980846,0.16505599,12
0.09,3.067961693,0.16689676,12
0.091,1.533980846,0.169044331,12
0.092,1.533980846,0.170578316,12
0.093,3.067961693,0.173032671,12
0.094,1.533980846,0.175180241,12
0.094,1.533980846,0.177327812,12
0.095,3.067961693,0.178861797,12
0.096,1.533980846,0.181009367,12
0.097,3.067961693,0.183463722,12
0.098,3.067961693,0.185304493,12
0.099,0,0.186838463,12
0.1,1.533980846,0.189599603,12
0.101,3.067961693,0.192053959,12
0.102,1.533980846,0.193894744,12
0.103,1.533980846,0.195735514,12
0.104,1.533980846,0.197883084,12
0.105,1.533980846,0.20003067,12
0.106,3.067961693,0.20187144,12
0.107,3.067961693,0.20401901,12
0.108,1.533980846,0.20616658,12
0.109,3.067961693,0.208620936,12
0.11,1.533980846,0.210154921,12
0.11,1.533980846,0.211995691,12
0.111,1.533980846,0.214143261,12
0.112,1.533980846,0.215677246,12
0.113,3.067961693,0.217824817,12
0.114,3.067961693,0.219972387,12
0.115,1.533980846,0.221813172,12
0.116,3.067961693,0.223960742,12
0.117,1.533980846,0.225494727,12
0.118,1.533980846,0.227335513,12
0.119,1.533980846,0.228869498,12
0.12,1.533980846,0.230403498,12
0.121,3.067961693,0.232857868,12
0.122,3.067961693,0.234391853,12
0.123,1.533980846,0.235925838,12
0.124,1.533980846,0.237766623,12
0.125,1.533980846,0.239300609,12
0.125,1.533980846,0.241141379,12
0.126,3.067961693,0.242675364,12
0.127,1.533980846,0.244209364,12
0.128,1.533980846,0.245743364,12
0.129,0,0.246970549,12
0.13,1.533980846,0.248811319,12
0.131,3.067961693,0.250038505,12
0.132,1.533980846,0.251879245,12
0.133,1.533980846,0.253106385,12
0.134,3.067961693,0.255253941,12
0.135,1.533980846,0.257401437,12
0.136,3.067961693,0.259242177,12
0.137,1.533980846,0.260776132,12
0.138,1.533980846,0.262616873,12
0.139,3.067961693,0.264764428,12
