time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.011,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.02,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.031,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.039,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.048,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.055,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.065,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.073,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.082,0,0,0,0,0,0.00004999999873689376,0.0021480880677700043,-5.69985672882467e-7,1.4062229070077592e-7,7.635510428372072e-7,0,0,0.11999999731779099,3,0,0,-2.285775214938557e-11,0,-5.69985672882467e-7,0.0021480880677700043,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
