time,QEIdata.omega,QEIdata.theta,Voltage
0,1.533980846,0.000306796,24
0.001,0,0.000306796,24
0.002,0,0.000306796,24
0.003,1.533980846,0.000920388,24
0.004,0,0.001227185,24
0.005,1.533980846,0.002147573,24
0.006,1.533980846,0.003067962,24
0.007,1.533980846,0.003988351,24
0.008,1.533980846,0.005522332,24
0.01,1.533980846,0.00736311,24
0.011,1.533980846,0.009203888,24
0.012,3.067961693,0.011351462,24
0.013,1.533980846,0.013192239,24
0.014,3.067961693,0.016873794,24
0.015,3.067961693,0.019328164,24
0.016,3.067961693,0.02208933,24
0.017,3.067961693,0.025157293,24
0.018,3.067961693,0.028225256,24
0.019,3.067961693,0.031600013,24
0.02,3.067961693,0.034974772,24
0.021,3.067961693,0.039576717,24
0.022,4.601942539,0.043565068,24
0.023,4.601942539,0.047246624,24
0.024,4.601942539,0.051541772,24
0.025,3.067961693,0.054609735,24
0.026,3.067961693,0.058904883,24
0.027,3.067961693,0.064120412,24
0.028,4.601942539,0.069642723,24
0.03,4.601942539,0.073937856,24
0.031,4.601942539,0.079460166,24
0.032,4.601942539,0.083755299,24
0.033,4.601942539,0.08927761,24
0.034,6.135923386,0.094186336,24
0.035,4.601942539,0.098788261,24
0.036,4.601942539,0.10431058,24
0.037,3.067961693,0.109219313,24
0.038,4.601942539,0.114434838,24
0.039,4.601942539,0.119343564,24
0.04,6.135923386,0.125786275,24
0.041,4.601942539,0.129774615,24
0.042,4.601942539,0.135910526,24
0.043,4.601942539,0.140819252,24
0.044,4.601942539,0.146034777,24
0.045,6.135923386,0.152170688,24
0.047,4.601942539,0.157079414,24
0.048,4.601942539,0.161681339,24
0.049,6.135923386,0.166896865,24
0.05,4.601942539,0.17149879,24
0.051,4.601942539,0.176407516,24
0.052,6.135923386,0.181316242,24
0.053,4.601942539,0.186838552,24
0.054,4.601942539,0.191747278,24
0.055,4.601942539,0.196349204,24
0.056,4.601942539,0.201257929,24
0.057,4.601942539,0.205859855,24
0.058,4.601942539,0.21046178,24
0.059,4.601942539,0.215063706,24
0.06,4.601942539,0.219665632,24
0.061,4.601942539,0.223960757,24
0.062,4.601942539,0.228562683,24
