time,QEIdata.omega,QEIdata.theta,Voltage
0.164,1.533980846,0.323362082,12
0.165,3.067961693,0.325816453,12
0.166,3.067961693,0.327657223,12
0.167,3.067961693,0.329804808,12
0.168,3.067961693,0.332565963,12
0.169,1.533980846,0.335020304,12
0.17,3.067961693,0.337167859,12
0.171,1.533980846,0.339622229,12
0.172,1.533980846,0.34146297,12
0.173,1.533980846,0.343610525,12
0.174,1.533980846,0.34575808,12
0.175,3.067961693,0.347905636,12
0.176,3.067961693,0.350666791,12
0.177,1.533980846,0.353427917,12
0.178,1.533980846,0.355575472,12
0.179,1.533980846,0.357723027,12
0.18,1.533980846,0.359256983,12
0.181,1.533980846,0.361404538,12
0.182,1.533980846,0.363858879,12
0.184,1.533980846,0.366313219,12
0.185,1.533980846,0.368460774,12
0.186,1.533980846,0.37060833,12
0.187,3.067961693,0.3724491,12
0.188,1.533980846,0.374596655,12
0.189,3.067961693,0.377050996,12
0.19,3.067961693,0.379505336,12
0.191,3.067961693,0.381652892,12
0.192,1.533980846,0.383493632,12
0.193,3.067961693,0.385334402,12
0.194,3.067961693,0.387175173,12
0.195,3.067961693,0.389322728,12
0.196,1.533980846,0.391163468,12
0.197,1.533980846,0.393617809,12
0.198,1.533980846,0.395765364,12
0.199,1.533980846,0.397606105,12
0.2,1.533980846,0.399446845,12
0.201,3.067961693,0.401287615,12
0.202,1.533980846,0.404048741,12
0.203,1.533980846,0.405889511,12
0.204,3.067961693,0.408650666,12
0.205,1.533980846,0.410491407,12
0.206,3.067961693,0.412638962,12
0.207,3.067961693,0.415093303,12
0.208,1.533980846,0.416934043,12
0.209,3.067961693,0.419081599,12
0.211,1.533980846,0.421535939,12
0.212,1.533980846,0.423683524,12
0.213,1.533980846,0.425524265,12
0.214,3.067961693,0.427978635,12
0.215,1.533980846,0.429819375,12
0.216,3.067961693,0.432273746,12
0.217,3.067961693,0.434421301,12
0.218,3.067961693,0.436875641,12
0.219,1.533980846,0.438409597,12
0.22,1.533980846,0.440863937,12
0.221,1.533980846,0.442704707,12
0.222,1.533980846,0.444852263,12
0.223,1.533980846,0.446999818,12
0.224,1.533980846,0.449760973,12
0.225,3.067961693,0.451908529,12
0.226,3.067961693,0.454056084,12
0.227,3.067961693,0.45681724,12
0.228,3.067961693,0.45927158,12
0.229,1.533980846,0.460805535,12
0.23,3.067961693,0.463259906,12
0.231,1.533980846,0.465714246,12
0.232,3.067961693,0.468168616,12
0.233,3.067961693,0.470316172,12
0.234,1.533980846,0.472156942,12
0.235,1.533980846,0.474611312,12
0.236,3.067961693,0.476758868,12
0.237,1.533980846,0.479213208,12
0.239,3.067961693,0.481360763,12
0.24,1.533980846,0.483508319,12
0.241,1.533980846,0.485655874,12
0.242,1.533980846,0.487803429,12
0.243,3.067961693,0.490564585,12
0.244,1.533980846,0.492405325,12
0.245,3.067961693,0.495473266,12
0.246,1.533980846,0.497620821,12
0.247,3.067961693,0.499768376,12
0.248,3.067961693,0.501915872,12
0.249,0,0.503143013,12
0.25,3.067961693,0.505904078,12
0.251,1.533980846,0.508051574,12
0.252,1.533980846,0.510505855,12
0.253,1.533980846,0.512960136,12
0.254,1.533980846,0.514800847,12
0.255,1.533980846,0.516641557,12
0.256,1.533980846,0.518789053,12
0.257,3.067961693,0.521243334,12
0.259,1.533980846,0.523697615,12
0.26,1.533980846,0.52584511,12
0.261,1.533980846,0.527992606,12
0.262,3.067961693,0.530140102,12
0.263,1.533980846,0.531980813,12
0.264,1.533980846,0.534128308,12
0.265,1.533980846,0.535969019,12
0.266,1.533980846,0.5384233,12
0.267,1.533980846,0.540570796,12
0.268,1.533980846,0.542411506,12
0.269,3.067961693,0.545172572,12
0.27,3.067961693,0.547320068,12
0.271,3.067961693,0.549160779,12
0.272,1.533980846,0.551615059,12
0.273,1.533980846,0.55345577,12
0.274,3.067961693,0.555603266,12
0.275,1.533980846,0.557443976,12
0.276,3.067961693,0.559591472,12
0.277,3.067961693,0.562045753,12
0.279,1.533980846,0.564500034,12
0.28,1.533980846,0.566954315,12
0.281,3.067961693,0.56910181,12
0.282,1.533980846,0.570942521,12
0.283,1.533980846,0.572783232,12
0.284,1.533980846,0.575544298,12
0.285,3.067961693,0.577691793,12
