time,motor_voltage,qei.omega,qei.theta
0.986,4.871157646,1.533980846,0.382877655
0.99,4.860207558,0,0.385945506
0.995,4.848795414,1.533980846,0.390547283
0.999,4.833878517,1.533980846,0.394228704
1.005,4.821421623,0,0.398830481
1.012,4.805193901,1.533980846,0.404966213
1.019,4.774138927,0,0.408954419
1.024,4.755856514,1.533980846,0.41324941
1.029,4.732943058,1.533980846,0.417544402
1.035,4.713034153,0,0.421532608
1.041,4.688162327,1.533980846,0.428281881
1.051,4.662218571,0,0.434110798
1.057,4.616588116,1.533980846,0.439019359
1.066,4.587771416,0,0.444848276
1.074,4.542518139,1.533980846,0.451290793
1.081,4.505635738,1.533980846,0.456199355
1.088,4.461675644,1.533980846,0.461721487
1.097,4.421626091,0,0.468470759
1.107,4.367960453,0,0.474299676
1.117,4.311849594,1.533980846,0.482276089
1.127,4.239951611,1.533980846,0.488411821
1.136,4.164409637,1.533980846,0.494240738
1.144,4.107187748,1.533980846,0.499456085
1.152,4.04804945,0,0.503137506
1.157,3.987001419,1.533980846,0.506512142
1.161,3.947880268,0,0.508966423
1.166,3.908018351,0,0.512034274
1.171,3.875597,0,0.515408911
1.176,3.834407568,0,0.518476762
1.181,3.784012079,1.533980846,0.521544613
1.187,3.749830484,0,0.525226034
1.192,3.706448555,1.533980846,0.52860067
1.199,3.6534338,0,0.532282091
1.204,3.599381924,1.533980846,0.535963513
1.211,3.544298649,1.533980846,0.539031364
1.216,3.488191128,0,0.542099215
1.223,3.431066275,1.533980846,0.546087421
1.229,3.363145351,0,0.548848487
1.235,3.303843498,1.533980846,0.551609553
1.24,3.243550062,0,0.554063834
1.245,3.202807903,0,0.556518115
1.25,3.140882015,1.533980846,0.558972396
1.255,3.08853817,0,0.560813106
1.26,3.035528898,0,0.563267387
1.264,2.981860161,0,0.564801313
1.268,2.938454628,0,0.566948808
1.274,2.894634247,1.533980846,0.569403089
1.279,2.839280844,1.533980846,0.571550585
1.284,2.772017956,1.533980846,0.573391296
1.288,2.715274811,1.533980846,0.574925221
1.292,2.657911539,0,0.576152362
1.297,2.623199224,0,0.578299857
1.304,2.56485939,1.533980846,0.581060923
1.31,2.482177496,1.533980846,0.582901634
1.317,2.410387993,0,0.58504913
1.324,2.325581551,0,0.587196625
1.33,2.227301836,0,0.589037336
1.336,2.16515708,0,0.590571262
1.341,2.089867592,0,0.591798402
1.345,2.026541471,0,0.593025543
1.35,1.975504637,0,0.593945898
1.354,1.911247134,0,0.595173038
1.358,1.859478235,1.533980846,0.595786608
1.362,1.807392716,0,0.596706964
1.367,1.754995823,0,0.597627319
1.372,1.689070225,0,0.598547674
1.378,1.635993123,0,0.59946803
1.384,1.54240644,0,0.600388385
1.388,1.475026488,0,0.601001955
1.395,1.407216311,0,0.601615526
1.401,1.311581612,1.533980846,0.602535881
1.407,1.228981376,0,0.602842666
1.412,1.145824432,0,0.603149451
1.419,1.076117516,0,0.603763021
1.425,0.97792846,0,0.603763021
