time,motor_voltage,qei.omega,qei.theta
0,0,0,0
0.01,0,0,0
0.018,0.131943062,0,0
0.026,0.175920114,0,0
0.034,0.226175383,0,0
0.041,0.276424944,0,0
0.048,0.314107597,0,0
0.055,0.36434409,0,0
0.063,0.408293515,0,0
0.071,0.45851171,0,0
0.078,0.508718312,0,0
0.085,0.55263859,0,0
0.092,0.5965482,0,0
0.1,0.640446246,0,0
0.107,0.690600276,0,0
0.113,0.734470725,0,0
0.12,0.772062719,0,0
0.126,0.815906107,0,0
0.132,0.85973376,0,0
0.138,0.89102906,0,0
0.143,0.92857182,0,0
0.148,0.959847331,0,0
0.153,0.991113424,0,0
0.159,1.022369742,0,0
0.165,1.059863925,0,0
0.172,1.103588104,0,0
0.179,1.141049027,0,0
0.185,1.184732914,0,0
0.192,1.222157955,0,0
0.198,1.265798569,0,0
0.204,1.303185463,0,0
0.21,1.340553641,0,0
0.216,1.377902865,0,0
0.223,1.409012318,0,0
0.229,1.458758354,0,0
0.234,1.489830971,0,0
0.239,1.527098656,0,0
0.245,1.55813849,0,0
0.254,1.595366001,0,0
0.265,1.657361269,0,0
0.276,1.725480318,0,0
0.285,1.787335277,0,0
0.293,1.842944503,0,0.000613592
0.299,1.886155486,0,0.001533981
0.305,1.929329872,0,0.002454369
0.312,1.966306925,0,0.003681554
0.318,2.009411335,0,0.005522332
0.326,2.046327353,0,0.006749517
0.334,2.101646185,0,0.007669906
0.341,2.144625902,0,0.008590295
0.348,2.187563896,0,0.009510684
0.354,2.23045969,0,0.010124276
0.361,2.267193079,1.533980846,0.011351462
0.367,2.310008049,0,0.01227185
0.374,2.346670866,0,0.013805832
0.381,2.389402151,0,0.015033017
0.387,2.432087421,0,0.016260201
0.392,2.46863699,0,0.01718059
0.398,2.499068499,1.533980846,0.018407775
0.404,2.541630983,0,0.019021368
0.409,2.572002649,0,0.019941757
0.415,2.602348804,0,0.021168942
0.421,2.638730526,0,0.022396127
0.427,2.675074577,0,0.023930108
0.434,2.71138072,0,0.02546409
0.44,2.753689051,0,0.027304867
0.446,2.789911032,1.533980846,0.028838849
0.45,2.826093435,1.533980846,0.030066034
0.456,2.850192547,1.533980846,0.031293217
0.461,2.886307716,0,0.032213606
0.466,2.916372299,0,0.033440791
0.471,2.946408033,0,0.034974772
0.476,2.976414919,0,0.03681555
0.482,3.012384176,0,0.038042735
0.488,3.042325735,0,0.040190309
0.494,3.078216076,0,0.042031087
