time,motor_voltage,qei.omega,qei.theta
0,0,0,0
0.009,0,0,0
0.017,0.009,0,0
0.025,0.0125,0,0
0.034,0.0165,0,0
0.041,0.020500001,0,0
0.049,0.024499999,0,0
0.057,0.0285,0,0
0.065,0.032499999,0,0
0.073,0.036499999,0,0
0.081,0.0405,0,0
0.087,0.044500001,0,0
0.093,0.047499999,0,0
0.1,0.050500002,0,0
0.106,0.0535,0,0
0.112,0.057,0,0
0.117,0.059999999,0,0
0.123,0.0625,0,0
0.13,0.066,0,0
0.136,0.068999998,0,0
0.142,0.071999997,0,0
0.148,0.075000003,0,0
0.153,0.077500001,0,0
0.16,0.080499999,0,0
0.167,0.083499998,0,0
0.176,0.087499999,0,0
0.184,0.092,0,0
0.19,0.096000001,0,0
0.196,0.098999999,0,0
0.203,0.101999998,0,0
0.208,0.105499998,0,0
0.214,0.108000003,0,0
0.221,0.111000001,0,0
0.227,0.114500001,0,0
0.233,0.1175,0,0
0.238,0.120499998,0,0
0.244,0.123000003,0,0
0.25,0.126000002,0,0
0.254,0.128999993,0,0
0.26,0.130999997,0,0
0.266,0.134000003,0,0
0.273,0.136999995,0,0
0.279,0.140499994,0,0
0.285,0.143999994,0,0
0.291,0.146500006,0,0
0.296,0.149000004,0,0
0.301,0.151999995,0,0
0.306,0.154499993,0,0
0.311,0.157000005,0,0
0.317,0.159500003,0,0
0.322,0.162499994,0,0
0.33,0.165000007,0,0
0.337,0.169,0,0
0.343,0.172499999,0,0
0.35,0.175500005,0,0
0.356,0.179000005,0,0
0.363,0.181999996,0,0
0.37,0.185499996,0,0
0.376,0.188999996,0,0
0.383,0.192000002,0,0
0.39,0.195999995,0,0
0.396,0.199000001,0,0
0.402,0.202000007,0,0
0.407,0.204999998,0,0
0.414,0.207499996,0,0
0.42,0.210999995,0,0
0.428,0.214000002,0,0
0.435,0.217500001,0,0
0.442,0.222000003,0,0
0.448,0.225500003,0,0
0.455,0.228,0,0
0.461,0.2315,0,0
0.468,0.234500006,0,0
0.474,0.238000005,0,0
0.479,0.240999997,0,0
0.486,0.243499994,0,0
0.493,0.246999994,0,0
0.499,0.250499994,0,0
0.505,0.253500015,0,0
0.51,0.256000012,0,0
0.516,0.259000003,0,0
0.522,0.261999995,0,0
0.527,0.265500009,0,0
0.533,0.268000007,0,0
0.54,0.270500004,0,0
0.546,0.274500012,0,0
0.552,0.277500004,0,0
0.559,0.280000001,0,0
0.564,0.282999992,0,0
0.569,0.286000013,0,0
0.574,0.288500011,0,0
0.58,0.291000009,0,0
0.586,0.294,0,0
0.593,0.296999991,0,0
0.599,0.300500005,0,0
0.604,0.303499997,0,0
0.61,0.306499988,0,0
0.616,0.309500009,0,0
0.622,0.312000006,0,0
0.628,0.314999998,0,0
0.633,0.317999989,0,0
0.639,0.320499986,0,0
0.644,0.323500007,0,0
0.651,0.326499999,0,0
0.656,0.32949999,0,0
0.661,0.331999987,0,0
0.667,0.334500015,0,0
0.673,0.337500006,0,0
0.678,0.340499997,0,0
0.684,0.343499988,0,0
0.689,0.345999986,0,0
0.696,0.348500013,0,0
0.703,0.352499992,0,0
0.709,0.355500013,0,0
0.715,0.358500004,0,0
0.72,0.361499995,0,0
0.725,0.363999993,0,0
0.73,0.36649999,0,0
0.738,0.368999988,0,0
0.749,0.37349999,0,0
0.758,0.378500015,0,0
0.768,0.382999986,0,0
0.775,0.387499988,0,0
0.782,0.391499996,0,0
0.788,0.395000011,0,0
0.794,0.398000002,0,0
0.801,0.401499987,0,0
0.808,0.405000001,0,0
0.815,0.407999992,0,0
0.822,0.412,0,0
0.827,0.414999992,0,0
0.834,0.417499989,0,0
0.839,0.421000004,0,0
0.844,0.423500001,0,0
