time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.007,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.013,0,0,0,0,0,7.849999761333493e-9,3.6282948201460385e-8,0.00028394488617777824,0.016712471842765808,2.1293884344686376e-7,0.15160493552684784,0,0.11999999731779099,3,0,0,0.449974924325943,0,0.0011037267977371812,0,0.15160493552684784,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.018,0,0,0,0,0,7.849999761333493e-9,0.0000010068094979942543,0.002538857748731971,0.024652019143104553,0.00005377654451876879,0.22800709307193756,0,0.11999999731779099,3,0,0,0.6401805877685547,0,0.0036841898690909147,0,0.22800709307193756,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.023,0,0,0,0,0,7.849999761333493e-9,0.000002641526862134924,0.006144459825009108,0.030906815081834793,0.0002738453622441739,0.2919764518737793,0,0.11999999731779099,3,0,0,0.7710434794425964,0,0.00734190596267581,0,0.2919764518737793,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.028,0,0,0,0,0,7.849999761333493e-9,0.0000041593730202293955,0.00944901630282402,0.037260305136442184,0.0005963666480965912,0.3562164306640625,0,0.11999999731779099,3,0,0,0.904529869556427,0,0.010833908803761005,0,0.3562164306640625,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.032,0,0,0,0,0,7.849999761333493e-9,0.000005902838438487379,0.013251089490950108,0.043529629707336426,0.0010721994331106544,0.42072415351867676,0,0.11999999731779099,3,0,0,1.02505624294281,0,0.014993790537118912,0,0.42072415351867676,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.037,0,0,0,0,0,7.849999761333493e-9,0.00001158822124125436,0.01803402416408062,0.04816795885562897,0.0018247606931254268,0.47252121567726135,0,0.11999999731779099,3,0,0,1.0949232578277588,0,0.019652171060442924,0,0.47252121567726135,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.042,0,0,0,0,0,7.849999761333493e-9,0.000010074374586110935,0.022267354652285576,0.054391033947467804,0.0026440343353897333,0.5375036001205444,0,0.11999999731779099,3,0,0,1.2095410823822021,0,0.024034110829234123,0,0.5375036001205444,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.046,0,0,0,0,0,7.849999761333493e-9,0.000012295402484596707,0.027054712176322937,0.059069789946079254,0.003698881482705474,0.5896764993667603,0,0.11999999731779099,3,0,0,1.2736445665359497,0,0.028883235529065132,0,0.5896764993667603,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.051,0,0,0,0,0,7.849999761333493e-9,0.000014699930034112185,0.032235726714134216,0.0651274174451828,0.005029018968343735,0.6551237106323242,0,0.11999999731779099,3,0,0,1.3680872917175293,0,0.03417174890637398,0,0.6551237106323242,0,0,0,0.09300000220537186,6.699999809265137,0,0,
